date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-04-24,20172.32858226183,99764.37609105623,84341.3911895013,,,,,184105.76728055754
2020-04-25,18832.117447120363,98557.03289964193,86888.94551605705,,,,,185445.97841569898
2020-04-26,17596.119765087245,97277.44223877262,89404.53385895948,,,,,186681.97609773208
2020-04-27,16456.19965063795,95935.46764569609,91886.4285664853,,,,,187821.89621218137
2020-04-28,15404.74321415845,94540.20713667451,94333.14551198638,,,,,188873.3526486609
2020-04-29,14434.655487257529,93100.01569468329,96743.42468087852,,,,,189843.44037556183
2020-04-30,13539.349101875529,91622.53529222767,99116.21146871615,,,,,190738.74676094382
2020-05-01,12712.726847446569,90114.7302071993,101450.63880817348,,,,,191565.36901537277
2020-05-02,11949.159919200574,88582.92569841917,103746.01024519959,,,,,192328.93594361877
2020-05-03,11243.463348014126,87032.84847453749,106001.78404026775,,,,,193034.63251480524
2020-05-04,9816.569988740675,86233.77707064939,108227.74880342928,,,,,194461.52587407868
2020-05-05,8582.674614736823,85264.48917722359,110430.93207085894,,,,,195695.42124808254
2020-05-06,7516.129194041959,84154.61733776,112607.34933101737,,,,,196761.96666877737
2020-05-07,6594.184974199608,82930.17969605097,114753.73119256872,,,,,197683.9108886197
2020-05-08,5796.867375761015,81613.79658092475,116867.43190613357,,,,,198481.2284870583
2020-05-09,5106.774707467937,80224.97482461436,118946.34633073703,,,,,199171.32115535138
2020-05-10,4508.837429394679,78780.42459046106,120988.83384296358,,,,,199769.25843342463
2020-05-11,3990.064521525899,77294.38078002505,122993.65056126838,,,,,200288.03134129342
2020-05-12,3539.294787661119,75778.91118922492,124959.88988593327,,,,,200738.80107515818
2020-05-13,3146.96183635963,74244.20357114468,126886.93045531501,,,,,201131.1340264597
2020-05-14,2804.879646306115,72698.8248848921,128774.39133162108,,,,,201473.2162165132
2020-05-15,2506.0500708991685,71149.9524801131,130622.09331180702,,,,,201772.04579192013
2020-05-16,2244.4931902220155,69603.57674204418,132430.0259305531,,,,,202033.60267259728
2020-05-17,2015.099189052146,68064.67739686654,134198.31927690058,,,,,202262.9966737671
2020-05-18,1813.5002629674732,66537.37555377091,135927.2200460809,,,,,202464.5955998518
2020-05-19,1635.9604297655305,65025.064246916634,137617.07118613712,,,,,202642.13543305377
2020-05-20,1479.2813133864609,63530.51987816214,139268.29467127068,,,,,202798.8145494328
2020-05-21,1340.7218048522432,62055.99714645695,140881.37691151007,,,,,202937.37405796704
2020-05-22,1217.9297535523797,60603.309694387965,142456.85641487892,,,,,203060.16610926687
2020-05-23,1108.88398692207,59173.898516029,143995.3133598682,,,,,203169.2118758972
2020-05-24,1011.8451526637448,57768.889922846,145497.36078730953,,,,,203266.25071015552
2020-05-25,925.3140683233547,56389.144630121584,146963.63716437435,,,,,203352.78179449594
2020-05-26,847.9964384800356,55035.2993142114,148394.80011012784,,,,,203430.09942433925
2020-05-27,778.7729621436038,53707.80179613814,149791.52110453753,,,,,203499.32290067567
2020-05-28,716.6739960326131,52406.94083664049,151154.48103014615,,,,,203561.42186678664
2020-05-29,660.8580653531094,51132.87137843499,152484.36641903117,,,,,203617.23779746616
2020-05-30,610.5936232469801,49885.63594197907,153781.86629759322,,,,,203667.5022395723
2020-05-31,565.243550462445,48665.18277443501,155047.66953792179,,,,,203712.8523123568
2020-06-01,524.2519697255503,47471.38125388367,156282.46263921,,,,,203753.84389309367
2020-06-02,487.1330149751914,46304.034973573354,157486.92787427068,,,,,203790.96284784403
2020-06-03,453.46125286133116,45162.892863686204,158661.7417462717,,,,,203824.6346099579
2020-06-04,422.86350196170804,44047.6586516052,159807.57370925235,,,,,203855.23236085754
2020-06-05,395.0118355580129,42957.998914174925,160925.08511308627,,,,,203883.08402726118
2020-06-06,369.6175877346003,41893.54993554229,162014.92833954233,,,,,203908.4782750846
2020-06-07,346.4262110318809,40853.923550650514,163077.7461011368,,,,,203931.66965178732
2020-06-08,325.2128577658093,39838.71212632685,164114.17087872655,,,,,203952.8830050534
2020-06-09,305.7785769959273,38847.49280847191,165124.8244773514,,,,,203972.3172858233
2020-06-10,287.9470387610628,37879.83114066008,166110.31768339808,,,,,203990.14882405815
2020-06-11,271.56169727199824,36935.28415951697,167071.25000603023,,,,,204006.5341655472
2020-06-12,256.48334996975257,36013.40301821397,168008.2094946355,,,,,204021.61251284945
2020-06-13,242.58801576892378,35113.735230194514,168921.77261685577,,,,,204035.5078470503
2020-06-14,229.765095210634,34235.82657747894,169812.50419012964,,,,,204048.33076760857
2020-06-15,217.91577232112908,33379.222731849746,170680.95735864833,,,,,204060.18009049806
2020-06-16,206.95162380602565,32543.47063034741,171527.67360866573,,,,,204071.14423901314
2020-06-17,196.79340684672928,31728.119639540815,172353.18281643162,,,,,204081.30245597244
2020-06-18,187.37000056087064,30932.722538678066,173158.00332358023,,,,,204090.7258622583
2020-06-19,178.61747870343467,30156.836348718654,173942.6420353971,,,,,204099.47838411573
2020-06-20,170.47830300665927,29400.023020114488,174707.594539698,,,,,204107.6175598125
2020-06-21,162.9006087724621,28661.850013620686,175453.345240426,,,,,204115.19525404667
